feature,correlation_with_sale_price
sale_price,1.0
building_age,0.13398063478292177
comarea,0.03260692132131438
numfloors,-0.010582850754016214
lotarea,-0.04925592735454533
bldgarea,-0.11444959539521243
resarea,-0.12255218283299114
unitstotal,-0.14824717868307533
unitsres,-0.15067192728614812
