borough_y,sale_price,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age
QN,1091400,1925.0,2400.0,2000.0,2000.0,0.0,3.0,3.0,2.0,40.7096063,-73.8723204,2.0,C0,100.0
BX,1665000,1992.0,3998.0,3300.0,0.0,3300.0,0.0,2.0,1.0,40.8361024,-73.9024085,5.0,K1,33.0
QN,999000,1910.0,4300.0,3776.0,3776.0,0.0,5.0,5.0,2.5,40.7104684,-73.8775669,2.0,C2,115.0
QN,999000,1920.0,2500.0,3700.0,3700.0,0.0,5.0,5.0,2.0,40.7075292,-73.8754335,2.0,C2,105.0
QN,75001,1963.0,23100.0,94432.0,94432.0,0.0,96.0,96.0,6.0,40.7306294,-73.8731749,3.0,D4,62.0
QN,40001,1963.0,23100.0,94432.0,94432.0,0.0,96.0,96.0,6.0,40.7306294,-73.8731749,3.0,D4,62.0
QN,76001,1963.0,23100.0,94432.0,94432.0,0.0,96.0,96.0,6.0,40.7306294,-73.8731749,3.0,D4,62.0
SI,800000,1901.0,2828.0,1420.0,1420.0,0.0,1.0,1.0,2.5,40.6146787,-74.0644045,1.0,A1,124.0
QN,1600000,1931.0,3142.0,2660.0,1000.0,1660.0,3.0,6.0,2.0,40.7128057,-73.8764408,4.0,K4,94.0
QN,2225000,1931.0,7300.0,6380.0,0.0,6380.0,1.0,2.0,2.0,40.7130484,-73.8725086,4.0,K4,94.0
QN,1015000,1930.0,6000.0,2048.0,2048.0,0.0,1.0,1.0,2.0,40.5765306,-73.8603571,1.0,A1,95.0
QN,999000,1910.0,4000.0,1326.0,1326.0,0.0,1.0,1.0,2.0,40.5760088,-73.860135,1.0,A1,115.0
QN,1100000,1925.0,4000.0,1200.0,1200.0,0.0,1.0,1.0,1.5,40.5756309,-73.8609025,1.0,A2,100.0
QN,1270000,1940.0,6000.0,2624.0,2624.0,0.0,1.0,1.0,2.0,40.5744421,-73.8606098,1.0,A1,85.0
QN,562500,1940.0,4000.0,801.0,801.0,0.0,1.0,1.0,1.0,40.5752194,-73.8610582,1.0,A6,85.0
QN,910000,1940.0,6000.0,1542.0,1542.0,0.0,1.0,1.0,2.0,40.5742725,-73.8611033,1.0,A1,85.0
